,open_interest
2024-11-15 14:15:00,1828134.0
2024-11-15 14:20:00,1830852.0
2024-11-15 14:25:00,1833005.0
2024-11-15 14:30:00,1829162.0
2024-11-15 14:35:00,1829731.0
2024-11-15 14:40:00,1833548.0
2024-11-15 14:45:00,1830903.0
2024-11-15 14:50:00,1829196.0
2024-11-15 14:55:00,1814939.0
2024-11-15 15:00:00,1803336.0
2024-11-15 21:00:00,1797770.0
2024-11-15 21:05:00,1798762.0
2024-11-15 21:10:00,1798090.0
2024-11-15 21:15:00,1799821.0
2024-11-15 21:20:00,1799394.0
2024-11-15 21:25:00,1799334.0
2024-11-15 21:30:00,1797524.0
2024-11-15 21:35:00,1798633.0
2024-11-15 21:40:00,1797959.0
2024-11-15 21:45:00,1799027.0
2024-11-15 21:50:00,1798167.0
2024-11-15 21:55:00,1797125.0
2024-11-15 22:00:00,1799875.0
2024-11-15 22:05:00,1798331.0
2024-11-15 22:10:00,1798719.0
2024-11-15 22:15:00,1800022.0
2024-11-15 22:20:00,1799413.0
2024-11-15 22:25:00,1799440.0
2024-11-15 22:30:00,1802010.0
2024-11-15 22:35:00,1803428.0
2024-11-15 22:40:00,1804087.0
2024-11-15 22:45:00,1802949.0
2024-11-15 22:50:00,1804149.0
2024-11-15 22:55:00,1800335.0
2024-11-15 23:00:00,1795650.0
2024-11-18 09:00:00,1798223.0
2024-11-18 09:05:00,1799424.0
2024-11-18 09:10:00,1797993.0
2024-11-18 09:15:00,1791619.0
2024-11-18 09:20:00,1793570.0
2024-11-18 09:25:00,1793374.0
2024-11-18 09:30:00,1792368.0
2024-11-18 09:35:00,1789061.0
2024-11-18 09:40:00,1786962.0
2024-11-18 09:45:00,1782961.0
2024-11-18 09:50:00,1784624.0
2024-11-18 09:55:00,1789853.0
2024-11-18 10:00:00,1789843.0
2024-11-18 10:05:00,1801783.0
2024-11-18 10:10:00,1804842.0
2024-11-18 10:15:00,1803349.0
2024-11-18 10:30:00,1795719.0
2024-11-18 10:35:00,1794614.0
2024-11-18 10:40:00,1795649.0
2024-11-18 10:45:00,1795470.0
2024-11-18 10:50:00,1797888.0
2024-11-18 10:55:00,1797682.0
2024-11-18 11:00:00,1794104.0
2024-11-18 11:05:00,1791277.0
2024-11-18 11:10:00,1791399.0
2024-11-18 11:15:00,1790535.0
2024-11-18 11:20:00,1789838.0
2024-11-18 11:25:00,1789405.0
2024-11-18 11:30:00,1788423.0
2024-11-18 13:30:00,1777395.0
2024-11-18 13:35:00,1777026.0
2024-11-18 13:40:00,1780255.0
2024-11-18 13:45:00,1781318.0
2024-11-18 13:50:00,1781454.0
2024-11-18 13:55:00,1783870.0
2024-11-18 14:00:00,1782152.0
2024-11-18 14:05:00,1782230.0
2024-11-18 14:10:00,1781133.0
2024-11-18 14:15:00,1778491.0
2024-11-18 14:20:00,1782478.0
2024-11-18 14:25:00,1783376.0
2024-11-18 14:30:00,1784003.0
2024-11-18 14:35:00,1783625.0
2024-11-18 14:40:00,1781064.0
2024-11-18 14:45:00,1780542.0
2024-11-18 14:50:00,1776320.0
2024-11-18 14:55:00,1771060.0
2024-11-18 15:00:00,1766798.0
2024-11-18 21:00:00,1762704.0
2024-11-18 21:05:00,1764732.0
2024-11-18 21:10:00,1766849.0
2024-11-18 21:15:00,1766817.0
2024-11-18 21:20:00,1766770.0
2024-11-18 21:25:00,1763209.0
2024-11-18 21:30:00,1762003.0
2024-11-18 21:35:00,1760827.0
2024-11-18 21:40:00,1760908.0
2024-11-18 21:45:00,1760181.0
2024-11-18 21:50:00,1759455.0
2024-11-18 21:55:00,1759166.0
2024-11-18 22:00:00,1759634.0
2024-11-18 22:05:00,1759722.0
2024-11-18 22:10:00,1759751.0
2024-11-18 22:15:00,1759078.0
2024-11-18 22:20:00,1760095.0
2024-11-18 22:25:00,1759145.0
2024-11-18 22:30:00,1759277.0
2024-11-18 22:35:00,1759689.0
2024-11-18 22:40:00,1758231.0
2024-11-18 22:45:00,1757674.0
2024-11-18 22:50:00,1753045.0
2024-11-18 22:55:00,1748630.0
2024-11-18 23:00:00,1746697.0
2024-11-19 09:00:00,1746891.0
2024-11-19 09:05:00,1746064.0
2024-11-19 09:10:00,1749387.0
2024-11-19 09:15:00,1749822.0
2024-11-19 09:20:00,1752090.0
2024-11-19 09:25:00,1753379.0
2024-11-19 09:30:00,1755611.0
2024-11-19 09:35:00,1755186.0
2024-11-19 09:40:00,1755250.0
2024-11-19 09:45:00,1754865.0
2024-11-19 09:50:00,1752737.0
2024-11-19 09:55:00,1752521.0
2024-11-19 10:00:00,1752950.0
2024-11-19 10:05:00,1753463.0
2024-11-19 10:10:00,1753182.0
2024-11-19 10:15:00,1753243.0
2024-11-19 10:30:00,1751406.0
2024-11-19 10:35:00,1754052.0
2024-11-19 10:40:00,1756795.0
2024-11-19 10:45:00,1752811.0
2024-11-19 10:50:00,1751401.0
2024-11-19 10:55:00,1751809.0
2024-11-19 11:00:00,1745912.0
2024-11-19 11:05:00,1742673.0
2024-11-19 11:10:00,1743717.0
2024-11-19 11:15:00,1744500.0
2024-11-19 11:20:00,1747037.0
2024-11-19 11:25:00,1749754.0
2024-11-19 11:30:00,1749536.0
2024-11-19 13:30:00,1748411.0
2024-11-19 13:35:00,1748328.0
2024-11-19 13:40:00,1748179.0
2024-11-19 13:45:00,1748234.0
2024-11-19 13:50:00,1749142.0
2024-11-19 13:55:00,1748547.0
2024-11-19 14:00:00,1746174.0
2024-11-19 14:05:00,1729471.0
2024-11-19 14:10:00,1717091.0
2024-11-19 14:15:00,1719184.0
2024-11-19 14:20:00,1711212.0
2024-11-19 14:25:00,1710316.0
2024-11-19 14:30:00,1706531.0
2024-11-19 14:35:00,1705166.0
2024-11-19 14:40:00,1704555.0
2024-11-19 14:45:00,1701144.0
2024-11-19 14:50:00,1697908.0
2024-11-19 14:55:00,1691958.0
2024-11-19 15:00:00,1684167.0
2024-11-19 21:00:00,1677925.0
2024-11-19 21:05:00,1677739.0
2024-11-19 21:10:00,1676719.0
2024-11-19 21:15:00,1677201.0
2024-11-19 21:20:00,1679395.0
2024-11-19 21:25:00,1678966.0
2024-11-19 21:30:00,1679224.0
2024-11-19 21:35:00,1680272.0
2024-11-19 21:40:00,1679378.0
2024-11-19 21:45:00,1678545.0
2024-11-19 21:50:00,1678336.0
2024-11-19 21:55:00,1678413.0
2024-11-19 22:00:00,1679422.0
2024-11-19 22:05:00,1678851.0
2024-11-19 22:10:00,1678181.0
2024-11-19 22:15:00,1676368.0
2024-11-19 22:20:00,1678104.0
2024-11-19 22:25:00,1676840.0
2024-11-19 22:30:00,1675448.0
2024-11-19 22:35:00,1674631.0
2024-11-19 22:40:00,1670680.0
2024-11-19 22:45:00,1669019.0
2024-11-19 22:50:00,1666498.0
2024-11-19 22:55:00,1663737.0
2024-11-19 23:00:00,1660379.0
2024-11-20 09:00:00,1657484.0
2024-11-20 09:05:00,1660156.0
2024-11-20 09:10:00,1659528.0
2024-11-20 09:15:00,1659969.0
2024-11-20 09:20:00,1660168.0
2024-11-20 09:25:00,1659510.0
2024-11-20 09:30:00,1656407.0
2024-11-20 09:35:00,1657603.0
2024-11-20 09:40:00,1657294.0
2024-11-20 09:45:00,1657675.0
2024-11-20 09:50:00,1652837.0
2024-11-20 09:55:00,1650428.0
2024-11-20 10:00:00,1653175.0
2024-11-20 10:05:00,1653952.0
2024-11-20 10:10:00,1653330.0
2024-11-20 10:15:00,1648444.0
2024-11-20 10:30:00,1648722.0
2024-11-20 10:35:00,1647525.0
2024-11-20 10:40:00,1645169.0
2024-11-20 10:45:00,1644176.0
2024-11-20 10:50:00,1644988.0
2024-11-20 10:55:00,1645478.0
2024-11-20 11:00:00,1644003.0
2024-11-20 11:05:00,1642670.0
2024-11-20 11:10:00,1641373.0
2024-11-20 11:15:00,1640809.0
2024-11-20 11:20:00,1639882.0
2024-11-20 11:25:00,1636057.0
2024-11-20 11:30:00,1633600.0
2024-11-20 13:30:00,1633242.0
2024-11-20 13:35:00,1631757.0
2024-11-20 13:40:00,1633337.0
2024-11-20 13:45:00,1632184.0
2024-11-20 13:50:00,1635584.0
2024-11-20 13:55:00,1634545.0
2024-11-20 14:00:00,1633742.0
2024-11-20 14:05:00,1630739.0
2024-11-20 14:10:00,1629848.0
2024-11-20 14:15:00,1630266.0
2024-11-20 14:20:00,1631028.0
2024-11-20 14:25:00,1629188.0
2024-11-20 14:30:00,1625368.0
2024-11-20 14:35:00,1626074.0
2024-11-20 14:40:00,1625307.0
