,vwap
2024-04-23 10:30:00,36725.029398067294
2024-04-23 10:45:00,36719.89990388121
2024-04-23 11:00:00,36689.236449953845
2024-04-23 11:15:00,36737.27373849732
2024-04-23 11:30:00,36719.78079331941
2024-04-23 13:30:00,36674.593271834914
2024-04-23 13:45:00,36609.99752530166
2024-04-23 14:00:00,36679.83982085758
2024-04-23 14:15:00,36638.093856516796
2024-04-23 14:30:00,36549.855679780085
2024-04-23 14:45:00,36434.84459581379
2024-04-23 15:00:00,36409.66288122277
2024-04-23 21:00:00,36423.6639637798
2024-04-23 21:15:00,36514.78375146647
2024-04-23 21:30:00,36521.54090804333
2024-04-23 21:45:00,36565.6578134651
2024-04-23 22:00:00,36543.90374841169
2024-04-23 22:15:00,36527.507751365716
2024-04-23 22:30:00,36507.38234526959
2024-04-23 22:45:00,36522.26405559065
2024-04-23 23:00:00,36523.00711743772
2024-04-24 09:00:00,36584.117219098356
2024-04-24 09:15:00,36629.38903102286
2024-04-24 09:30:00,36615.36147788502
2024-04-24 09:45:00,36693.23423977601
2024-04-24 10:00:00,36811.20433864662
2024-04-24 10:15:00,36848.63717872086
2024-04-24 10:30:00,36815.255550363996
2024-04-24 10:45:00,36829.781175628144
2024-04-24 11:00:00,36852.90901314605
2024-04-24 11:15:00,36849.88928468277
2024-04-24 11:30:00,36826.69453025622
2024-04-24 13:30:00,36885.94479280415
2024-04-24 13:45:00,36819.79333272053
2024-04-24 14:00:00,36782.5532490822
2024-04-24 14:15:00,36827.76858141529
2024-04-24 14:30:00,36834.28755119535
2024-04-24 14:45:00,36810.33203934723
2024-04-24 15:00:00,36814.0115347645
2024-04-24 21:00:00,36772.22211759388
2024-04-24 21:15:00,36776.02228441862
2024-04-24 21:30:00,36751.62578350359
2024-04-24 21:45:00,36795.04246831837
2024-04-24 22:00:00,36783.80691701627
2024-04-24 22:15:00,36796.82319977585
2024-04-24 22:30:00,36775.33587406794
2024-04-24 22:45:00,36762.32633194011
2024-04-24 23:00:00,36758.35900473934
2024-04-25 09:00:00,36834.45078793126
2024-04-25 09:15:00,36862.45796123175
2024-04-25 09:30:00,36972.44732723333
2024-04-25 09:45:00,36974.36862457114
2024-04-25 10:00:00,36926.311011343096
2024-04-25 10:15:00,36950.467111534796
2024-04-25 10:30:00,36910.42764655804
2024-04-25 10:45:00,36907.642697848234
2024-04-25 11:00:00,36906.71229291528
2024-04-25 11:15:00,36753.587965807164
2024-04-25 11:30:00,36701.547861507126
2024-04-25 13:30:00,36847.630661495044
2024-04-25 13:45:00,36902.841801214636
2024-04-25 14:00:00,36809.55626481853
2024-04-25 14:15:00,36767.23991462564
2024-04-25 14:30:00,36680.95760268469
2024-04-25 14:45:00,36727.64590123609
2024-04-25 15:00:00,36699.61737714624
2024-04-25 21:00:00,36697.315270935964
2024-04-25 21:15:00,36622.91674034577
2024-04-25 21:30:00,36695.299819657346
2024-04-25 21:45:00,36678.84053264047
2024-04-25 22:00:00,36649.420037459335
2024-04-25 22:15:00,36586.32593058557
2024-04-25 22:30:00,36635.850415206776
2024-04-25 22:45:00,36524.333771992875
2024-04-25 23:00:00,36509.2749244713
2024-04-26 09:00:00,36572.84636803133
2024-04-26 09:15:00,36644.644669595626
2024-04-26 09:30:00,36656.49945770065
2024-04-26 09:45:00,36699.56424198639
2024-04-26 10:00:00,36673.946027961414
2024-04-26 10:15:00,36715.50588235294
2024-04-26 10:30:00,36718.67560321716
